strategy_id,label,asset_class,direction,exit,sharpe,max_drawdown,win_rate,annualized_return,trade_count,avg_trade_return,all_years_profitable,worst_year,worst_year_return,vix_hard_block,vix_scaled_sizing,skip_monday,no_repeat_days,weekly_breaker,symbol_quality,pattern_regime,multi_tier
V4_STK_A_01_baseline_B,BaseA | 01_baseline | both,stock,both,target6_atr2,7.1102,-2.6529,84.51,35.6734,1194,3.5032,True,2019,26.31,False,False,False,0,0,False,False,False
V4_STK_A_01_baseline_L,BaseA | 01_baseline | long,stock,long,target6_atr2,6.7072,-3.2776,83.53,33.3805,1178,3.3461,True,2018,24.52,False,False,False,0,0,False,False,False
V4_STK_A_01_baseline_S,BaseA | 01_baseline | short,stock,short,target6_atr2,5.0651,-3.5632,84.68,19.4188,744,3.2637,True,2021,1.51,False,False,False,0,0,False,False,False
V4_STK_A_02_vix_block_B,BaseA | 02_vix_block | both,stock,both,target6_atr2,7.1102,-2.6529,84.51,35.6734,1194,3.5032,True,2019,26.31,True,False,False,0,0,False,False,False
V4_STK_A_02_vix_block_L,BaseA | 02_vix_block | long,stock,long,target6_atr2,6.7072,-3.2776,83.53,33.3805,1178,3.3461,True,2018,24.52,True,False,False,0,0,False,False,False
V4_STK_A_02_vix_block_S,BaseA | 02_vix_block | short,stock,short,target6_atr2,5.0651,-3.5632,84.68,19.4188,744,3.2637,True,2021,1.51,True,False,False,0,0,False,False,False
V4_STK_A_03_sym_quality_B,BaseA | 03_sym_quality | both,stock,both,target6_atr2,7.0262,-2.8328,83.44,37.1441,1274,3.3965,True,2019,26.79,False,False,False,0,0,True,False,False
V4_STK_A_03_sym_quality_L,BaseA | 03_sym_quality | long,stock,long,target6_atr2,6.1346,-2.9818,81.1,31.8281,1249,3.0282,True,2020,24.25,False,False,False,0,0,True,False,False
V4_STK_A_03_sym_quality_S,BaseA | 03_sym_quality | short,stock,short,target6_atr2,4.9492,-2.9165,84.68,19.6741,777,3.159,True,2021,1.51,False,False,False,0,0,True,False,False
V4_STK_A_04_no_repeat14_B,BaseA | 04_no_repeat14 | both,stock,both,target6_atr2,7.1571,-2.5413,84.49,35.9197,1193,3.5238,True,2019,27.1,False,False,False,14,0,False,False,False
V4_STK_A_04_no_repeat14_L,BaseA | 04_no_repeat14 | long,stock,long,target6_atr2,6.7595,-3.2776,83.19,33.938,1178,3.3918,True,2019,26.78,False,False,False,14,0,False,False,False
V4_STK_A_04_no_repeat14_S,BaseA | 04_no_repeat14 | short,stock,short,target6_atr2,5.1231,-3.2945,84.12,19.9265,743,3.3466,True,2021,1.51,False,False,False,14,0,False,False,False
V4_STK_A_05_skip_monday_B,BaseA | 05_skip_monday | both,stock,both,target6_atr2,7.4634,-1.8372,85.89,36.3209,1155,3.6795,True,2019,27.24,False,False,True,0,0,False,False,False
V4_STK_A_05_skip_monday_L,BaseA | 05_skip_monday | long,stock,long,target6_atr2,6.9813,-2.8026,85.14,33.4806,1151,3.4398,True,2018,21.02,False,False,True,0,0,False,False,False
V4_STK_A_05_skip_monday_S,BaseA | 05_skip_monday | short,stock,short,target6_atr2,4.8804,-2.3812,87.02,18.8159,701,3.3534,True,2021,1.51,False,False,True,0,0,False,False,False
V4_STK_A_06_wkly_breaker_B,BaseA | 06_wkly_breaker | both,stock,both,target6_atr2,2.327,-2.6542,81.9,4.664,221,2.8,False,2020,,False,False,False,0,3,False,False,False
V4_STK_A_06_wkly_breaker_L,BaseA | 06_wkly_breaker | long,stock,long,target6_atr2,2.0668,-2.813,80.48,3.9289,210,2.5505,False,2020,,False,False,False,0,3,False,False,False
V4_STK_A_06_wkly_breaker_S,BaseA | 06_wkly_breaker | short,stock,short,target6_atr2,2.3532,-3.6222,84.68,5.7031,235,3.2135,False,2023,,False,False,False,0,3,False,False,False
V4_STK_A_07_best4_B,BaseA | 07_best4 | both,stock,both,target6_atr2,6.9174,-2.1171,85.04,33.9262,1170,3.4107,True,2020,26.78,False,False,True,14,3,True,False,False
V4_STK_A_07_best4_L,BaseA | 07_best4 | long,stock,long,target6_atr2,1.9698,-2.1706,83.93,2.3815,112,2.8882,False,2019,,False,False,True,14,3,True,False,False
V4_STK_A_07_best4_S,BaseA | 07_best4 | short,stock,short,target6_atr2,2.6019,-2.704,88.05,6.1931,226,3.6223,False,2023,,False,False,True,14,3,True,False,False
V4_STK_A_08_vix_best4_B,BaseA | 08_vix_best4 | both,stock,both,target6_atr2,6.9174,-2.1171,85.04,33.9262,1170,3.4107,True,2020,26.78,True,False,True,14,3,True,False,False
V4_STK_A_08_vix_best4_L,BaseA | 08_vix_best4 | long,stock,long,target6_atr2,1.9698,-2.1706,83.93,2.3815,112,2.8882,False,2019,,True,False,True,14,3,True,False,False
V4_STK_A_08_vix_best4_S,BaseA | 08_vix_best4 | short,stock,short,target6_atr2,2.6019,-2.704,88.05,6.1931,226,3.6223,False,2023,,True,False,True,14,3,True,False,False
V4_STK_A_09_regime_B,BaseA | 09_regime | both,stock,both,target6_atr2,6.9778,-3.3095,83.91,36.3777,1243,3.4228,True,2024,29.57,False,False,False,0,0,False,True,False
V4_STK_A_09_regime_L,BaseA | 09_regime | long,stock,long,target6_atr2,6.7281,-3.3095,83.44,35.1652,1238,3.3233,True,2018,26.9,False,False,False,0,0,False,True,False
V4_STK_A_09_regime_S,BaseA | 09_regime | short,stock,short,target6_atr2,5.5913,-3.5632,84.99,24.2167,873,3.3794,True,2021,1.51,False,False,False,0,0,False,True,False
V4_STK_A_10_vix_regime_B,BaseA | 10_vix_regime | both,stock,both,target6_atr2,6.9778,-3.3095,83.91,36.3777,1243,3.4228,True,2024,29.57,True,False,False,0,0,False,True,False
