direction,q,year,n,fwd_wr,fwd_avg_ret_pct
l,0,2000,308,0.44155844155844154,-3.979293852259306
l,0,2001,313,0.4952076677316294,2.065144256974049
l,0,2002,331,0.3716012084592145,-3.1802580732216623
l,0,2003,338,0.6242603550295858,3.1452041243300832
l,0,2004,334,0.7305389221556886,7.336748968233336
l,0,2005,327,0.6513761467889908,4.77166656536945
l,0,2006,327,0.599388379204893,2.250052873396077
l,0,2007,316,0.6550632911392406,4.238561217762043
l,0,2008,324,0.31790123456790126,-3.3659072573215187
l,0,2009,344,0.6802325581395349,5.095760356128066
l,0,2010,347,0.6484149855907781,2.742638196704423
l,0,2011,337,0.5667655786350149,2.0886177576485747
l,0,2012,326,0.5460122699386503,1.0223840445064092
l,0,2013,318,0.6037735849056604,1.9447160350931125
l,0,2014,317,0.5899053627760252,2.0394146345014526
l,0,2015,315,0.4380952380952381,-0.003056407608945901
l,0,2016,328,0.6646341463414634,2.2281012211376807
l,0,2017,328,0.6585365853658537,2.4599055891554475
l,0,2018,326,0.5920245398773006,0.6087405702090207
l,0,2019,314,0.6942675159235668,3.364604933896799
l,0,2020,314,0.6114649681528662,2.9768924526248233
l,0,2021,311,0.6302250803858521,4.121546591362164
l,0,2022,300,0.5033333333333333,0.29649168224282807
l,0,2023,296,0.6283783783783784,2.775859792840022
l,0,2024,298,0.5906040268456376,1.3253948842786345
l,0,2025,310,0.5580645161290323,1.60476163917994
l,1,2000,67,0.23880597014925373,-8.003263239572913
l,1,2001,47,0.7021276595744681,4.946456266774875
l,1,2002,44,0.29545454545454547,-3.0057352680634
l,1,2003,37,0.6756756756756757,2.973326877883283
l,1,2004,41,0.7560975609756098,3.494308933521531
l,1,2005,48,0.4375,-0.19525697603881287
l,1,2006,48,0.7083333333333334,3.074633148491905
l,1,2007,59,0.559322033898305,0.7718453290734979
l,1,2008,51,0.3137254901960784,-7.85403431407513
l,1,2009,31,0.5806451612903226,5.102893384387152
l,1,2010,28,0.75,3.993032730111358
l,1,2011,38,0.631578947368421,3.7914353634428646
l,1,2012,49,0.46938775510204084,-1.0963963079008978
l,1,2013,57,0.6491228070175439,3.595265444159463
l,1,2014,58,0.7586206896551724,4.277114645792903
l,1,2015,60,0.4166666666666667,-0.10034302088343931
l,1,2016,47,0.6382978723404256,2.874757449903105
l,1,2017,47,0.8085106382978723,5.427515854481931
l,1,2018,49,0.4897959183673469,1.468601172669451
l,1,2019,61,0.819672131147541,6.569068419970982
l,1,2020,61,0.6885245901639344,7.932204727003889
l,1,2021,64,0.8125,6.337488880059864
l,1,2022,75,0.4533333333333333,0.34226826737189914
l,1,2023,79,0.569620253164557,4.0949185198804505
l,1,2024,77,0.5714285714285714,3.5911144062986096
l,1,2025,65,0.5538461538461539,2.910692706153389
s,0,2000,369,0.5907859078590786,4.443357746137315
s,0,2001,353,0.4702549575070821,-2.612966385791976
s,0,2002,367,0.6294277929155313,3.0020829774038895
s,0,2003,362,0.36187845303867405,-3.0675051325227236
s,0,2004,362,0.26519337016574585,-6.978135904067101
s,0,2005,366,0.3797814207650273,-4.176372570823563
s,0,2006,367,0.3814713896457766,-2.423973388295283
s,0,2007,365,0.3561643835616438,-3.8514374836835135
s,0,2008,364,0.6840659340659341,3.910508541909353
s,0,2009,359,0.3147632311977716,-5.365345842364406
s,0,2010,355,0.3323943661971831,-3.1362096871366507
s,0,2011,359,0.4178272980501393,-2.12401830031142
s,0,2012,357,0.48179271708683474,-0.43038854539928506
s,0,2013,364,0.3956043956043956,-2.168115247270317
s,0,2014,371,0.38274932614555257,-2.4328521126558535
s,0,2015,371,0.5660377358490566,0.004365446704278424
s,0,2016,369,0.33604336043360433,-2.2907100970122487
s,0,2017,367,0.3133514986376022,-2.9380639993744997
s,0,2018,364,0.4175824175824176,-0.7383731691054762
s,0,2019,367,0.2724795640326976,-4.078095109131529
s,0,2020,365,0.36164383561643837,-3.975942499138147
s,0,2021,359,0.3203342618384401,-4.850112125177375
s,0,2022,363,0.5179063360881543,-0.11583834486027275
s,0,2023,362,0.39779005524861877,-2.949764887471473
s,0,2024,366,0.4180327868852459,-1.7579676445418333
s,0,2025,369,0.43902439024390244,-1.8927700005707493
s,1,2000,6,0.8333333333333334,20.373689203763625
s,1,2001,7,0.8571428571428571,6.214791030467305
s,1,2002,8,1.0,10.394165165491563
s,1,2003,13,0.46153846153846156,-4.819633117847964
s,1,2004,13,0.3076923076923077,-5.204278799386705
s,1,2005,9,0.2222222222222222,-2.4900301227247903
s,1,2006,8,0.625,0.7810690970300359
s,1,2007,10,0.5,2.085046231634038
s,1,2008,11,0.6363636363636364,6.153144739545386
s,1,2009,16,0.625,0.9392437490478436
s,1,2010,20,0.5,2.4927034116979234
s,1,2011,16,0.625,-5.33850989541241
s,1,2012,18,0.1111111111111111,-6.995837150800037
s,1,2013,11,0.09090909090909091,-3.1050799518458008
s,1,2014,4,0.5,2.0052613005932165
s,1,2015,4,0.5,1.3409422306342598
s,1,2016,6,0.5,-3.4431291468476073
s,1,2017,8,0.75,2.040901170850465
s,1,2018,11,0.5454545454545454,-0.14936816314095622
s,1,2019,8,0.75,4.932722773680822
s,1,2020,10,0.9,3.2610293713992227
s,1,2021,16,0.75,3.3618734188258412
s,1,2022,12,0.08333333333333333,-6.04735879512182
s,1,2023,13,0.0,-5.949090191271456
s,1,2024,9,0.2222222222222222,-3.1185918775238886
s,1,2025,6,0.6666666666666666,1.9601660274757948
