direction,depth_bucket,n,fwd_wr,fwd_avg_ret_pct,ret_t_stat
l,never_qualified,4351.0,0.5794070328660078,1.7453951632453824,11.235762839813253
l,depth_5_9,2671.0,0.5870460501684762,2.122093102527333,10.389597752119686
l,depth_10_14,1390.0,0.5517985611510792,1.5416858624208443,5.0124604508602735
l,depth_15_19,635.0,0.5858267716535434,2.301315245068868,5.719355977026334
l,depth_20_29,539.0,0.6419294990723562,3.7485526334199966,8.715331689752052
l,depth_30plus,149.0,0.5838926174496645,2.2315173198310254,2.9482670018341604
s,never_qualified,7879.0,0.4114735372509202,-2.121914286019499,-17.694358772677845
s,depth_5_9,1352.0,0.4326923076923077,-1.6982095383513183,-6.161523026512894
s,depth_10_14,351.0,0.5014245014245015,-0.19904640051965358,-0.39961370392227424
s,depth_15_19,120.0,0.38333333333333336,-1.2207348934409628,-1.8370054407718608
s,depth_20_29,29.0,0.5517241379310345,-0.001196615132016472,-0.0012059429081111286
s,depth_30plus,4.0,0.75,2.84015486242275,1.3618034574794078
