method,fit_scheme,ECE,MCE,Brier,logloss,AUC
production_20bin_step,in_sample,1.9e-05,3.3e-05,0.209627,0.608001,0.623354
quantile_bins_10,LOYO,0.020044,0.308628,0.211396,0.611954,0.623354
production_20bin_step,LOYO,0.022403,0.218147,0.21153,0.612202,0.623354
quantile_bins_20,LOYO,0.022403,0.218147,0.21153,0.612202,0.623354
isotonic_clip,LOYO,0.021437,0.287451,0.21157,0.612307,0.623354
isotonic_extrap,LOYO,0.021444,0.287451,0.211573,0.612395,0.623354
quantile_bins_50,LOYO,0.015758,0.270823,0.211721,0.612586,0.623354
isotonic_recency_w,LOYO,0.021753,0.285815,0.211771,0.612717,0.623354
isotonic_by_dir,LOYO,0.017753,0.101269,0.211918,0.613445,0.623354
platt_linear,LOYO,0.022301,0.199239,0.21196,0.613422,0.623354
platt_quad,LOYO,0.022815,0.35517,0.212135,0.613802,0.623354
