which,prob_bin,bin_lo,bin_hi,mean_pred_prob,mean_realized,count
baseline_LOYO,0,0.0,0.0667,,,0
baseline_LOYO,1,0.0667,0.1333,,,0
baseline_LOYO,2,0.1333,0.2,,,0
baseline_LOYO,3,0.2,0.2667,,,0
baseline_LOYO,4,0.2667,0.3333,,,0
baseline_LOYO,5,0.3333,0.4,,,0
baseline_LOYO,6,0.4,0.4667,0.43243,0.55831,464423
baseline_LOYO,7,0.4667,0.5333,0.5034,0.51035,932859
baseline_LOYO,8,0.5333,0.6,0.58322,0.54999,1413357
baseline_LOYO,9,0.6,0.6667,0.63349,0.62869,2931720
baseline_LOYO,10,0.6667,0.7333,0.70128,0.70872,6649612
baseline_LOYO,11,0.7333,0.8,0.76054,0.75775,3238599
baseline_LOYO,12,0.8,0.8667,0.82958,0.80407,1625653
baseline_LOYO,13,0.8667,0.9333,,,0
baseline_LOYO,14,0.9333,1.0,,,0
best_platt_linear_LOYO,0,0.0,0.0667,0.03585,0.21181,1185
best_platt_linear_LOYO,1,0.0667,0.1333,0.10387,0.3773,1956
best_platt_linear_LOYO,2,0.1333,0.2,0.17182,0.47187,5705
best_platt_linear_LOYO,3,0.2,0.2667,0.23554,0.41556,10824
best_platt_linear_LOYO,4,0.2667,0.3333,0.3088,0.36341,33626
best_platt_linear_LOYO,5,0.3333,0.4,0.3713,0.43553,119926
best_platt_linear_LOYO,6,0.4,0.4667,0.43948,0.50788,319884
best_platt_linear_LOYO,7,0.4667,0.5333,0.49671,0.54798,351758
best_platt_linear_LOYO,8,0.5333,0.6,0.57655,0.53595,934375
best_platt_linear_LOYO,9,0.6,0.6667,0.63843,0.63051,4814271
best_platt_linear_LOYO,10,0.6667,0.7333,0.69711,0.70579,6176069
best_platt_linear_LOYO,11,0.7333,0.8,0.76061,0.76312,2960103
best_platt_linear_LOYO,12,0.8,0.8667,0.82858,0.7931,1061927
best_platt_linear_LOYO,13,0.8667,0.9333,0.89306,0.87178,394301
best_platt_linear_LOYO,14,0.9333,1.0,0.9562,0.87968,70313
