which,pred_decile,pred_lo,pred_hi,mean_pred_prob,mean_realized,abs_gap,count
baseline_LOYO,0,-38.8852,-0.3188,0.55178,0.53936,0.01242,1880570
baseline_LOYO,1,-0.3188,1.0191,0.63467,0.6372,0.00253,1880570
baseline_LOYO,2,1.0191,2.0459,0.64465,0.63933,0.00531,1880372
baseline_LOYO,3,2.0459,2.7673,0.67876,0.67837,0.00038,1880763
baseline_LOYO,4,2.7673,3.1571,0.7361,0.74335,0.00725,1880504
baseline_LOYO,5,3.1571,3.5227,0.72254,0.72048,0.00206,1880640
baseline_LOYO,6,3.5227,3.9842,0.69708,0.69083,0.00625,1880565
baseline_LOYO,7,3.9842,4.6636,0.7092,0.72177,0.01257,1880484
baseline_LOYO,8,4.6636,6.2202,0.74944,0.74816,0.00128,1880660
baseline_LOYO,9,6.2202,inf,0.81127,0.82283,0.01156,1880570
best_platt_linear_LOYO,0,-38.8852,-0.3188,0.5428,0.53936,0.00344,1880570
best_platt_linear_LOYO,1,-0.3188,1.0191,0.62231,0.6372,0.01489,1880570
best_platt_linear_LOYO,2,1.0191,2.0459,0.65886,0.63933,0.01953,1880372
best_platt_linear_LOYO,3,2.0459,2.7673,0.68296,0.67837,0.00458,1880763
best_platt_linear_LOYO,4,2.7673,3.1571,0.69734,0.74335,0.04601,1880504
best_platt_linear_LOYO,5,3.1571,3.5227,0.70836,0.72048,0.01212,1880640
best_platt_linear_LOYO,6,3.5227,3.9842,0.71713,0.69083,0.0263,1880565
best_platt_linear_LOYO,7,3.9842,4.6636,0.7293,0.72177,0.00753,1880484
best_platt_linear_LOYO,8,4.6636,6.2202,0.75749,0.74816,0.00932,1880660
best_platt_linear_LOYO,9,6.2202,inf,0.82771,0.82283,0.00488,1880570
