direction,q,year,n,fwd_wr,fwd_avg_ret_pct
l,0,2000,118345,0.5641218471418311,2.7068449427331656
l,0,2001,121288,0.5435492381769013,1.1352230152901788
l,0,2002,127981,0.4595213351981935,-1.1762236370388868
l,0,2003,137288,0.6786099294912884,4.432615180079597
l,0,2004,139425,0.6014201183431953,1.9277788233596276
l,0,2005,146402,0.5879291266512753,2.538824600400049
l,0,2006,150983,0.602809587834392,1.7864066282405124
l,0,2007,162464,0.5199182588142603,0.19113485690763862
l,0,2008,167735,0.4229349867350285,-3.57732955527963
l,0,2009,178134,0.6537943346020412,5.298024590436041
l,0,2010,178687,0.6365544219780958,2.834036224902972
l,0,2011,183509,0.5432322120440959,0.6971395035433657
l,0,2012,186911,0.6250996463557522,2.1481535580638624
l,0,2013,188539,0.6569357003060374,2.8937369627161544
l,0,2014,193251,0.62047285654408,1.8983311912342447
l,0,2015,193311,0.4977368075277661,-0.30495885506794734
l,0,2016,200713,0.6406809723336306,3.1139927558777574
l,0,2017,204683,0.6552913529702027,2.4901325505463046
l,0,2018,201851,0.5387241083769712,0.522972361868025
l,0,2019,203298,0.6425050910486084,2.208651849056611
l,0,2020,203694,0.6282070164069634,3.774430279680209
l,0,2021,209617,0.602646731896745,2.419626970897261
l,0,2022,213766,0.4821908067700196,-0.17094137312369584
l,0,2023,222185,0.5444246911357652,1.4730439750317894
l,0,2024,230464,0.5738379963898917,1.8347656572398805
l,0,2025,233711,0.5667426864803111,1.8870640423631913
l,1,2000,22554,0.6178061541190033,5.089961101363618
l,1,2001,23432,0.5802321611471492,2.0486261823599254
l,1,2002,21429,0.5150963647393719,0.18705150375623886
l,1,2003,19398,0.7105371687802866,5.1932673695883675
l,1,2004,22725,0.6257865786578658,2.7340910180736278
l,1,2005,26707,0.6477328041337477,3.346252397451377
l,1,2006,26219,0.6457530798276059,2.481881781859925
l,1,2007,27030,0.45834258231594527,-1.1193548240413769
l,1,2008,24367,0.4307465014158493,-4.272089346121339
l,1,2009,21133,0.7055789523494062,7.654697292915317
l,1,2010,26164,0.6811267390307293,4.103864564512246
l,1,2011,28627,0.6563034897125092,3.24983916278465
l,1,2012,30814,0.6468812877263581,2.5716266299952335
l,1,2013,37096,0.6744932068147509,3.2461567133682436
l,1,2014,35474,0.667164683993911,2.8512692289389214
l,1,2015,36649,0.5178040328521925,0.2262996360394722
l,1,2016,35307,0.6600390857337072,3.664848993570126
l,1,2017,36267,0.6536245071276918,2.686180792629113
l,1,2018,42759,0.4884585701255876,-0.21915274331049647
l,1,2019,48022,0.6864770313606264,3.260711243026752
l,1,2020,50676,0.5603244139237509,1.3785088874891949
l,1,2021,47803,0.6231408070623182,2.81166764598518
l,1,2022,49144,0.5285487546801237,0.7950389420582077
l,1,2023,44995,0.6470052228025336,3.7678628909422187
l,1,2024,42816,0.5904568385650224,2.3148056633871343
l,1,2025,39569,0.5610452627056535,1.8576088964506583
s,0,2000,138077,0.4200554762922138,-3.149901405031297
s,0,2001,142297,0.4469595283105055,-1.333042053020066
s,0,2002,146461,0.5298133974232048,0.9360420404504246
s,0,2003,153016,0.3137384325822136,-4.5714642473493825
s,0,2004,158525,0.39379908531777325,-2.0441541781629855
s,0,2005,169703,0.3998161493904056,-2.697845498411868
s,0,2006,173317,0.3893963084983008,-1.8887945564814883
s,0,2007,185746,0.4876282665575571,0.005549188148753107
s,0,2008,187591,0.575235485710935,3.694253355674647
s,0,2009,193975,0.33739399407140097,-5.62075064539262
s,0,2010,200214,0.35528983987133766,-3.012917184582815
s,0,2011,208020,0.43964041919046243,-1.0600518940679022
s,0,2012,213543,0.3703048098041144,-2.2104811706685363
s,0,2013,222194,0.33888853884443326,-2.9584986890243314
s,0,2014,225202,0.37099137663075815,-2.053169366264804
s,0,2015,226694,0.4980105340238383,0.2209894768257966
s,0,2016,231876,0.3551079024996119,-3.2068052604481854
s,0,2017,237075,0.34411051355056416,-2.528018783179512
s,0,2018,241345,0.46996208746814727,-0.3811535447266438
s,0,2019,248661,0.34789934891277685,-2.420353199596426
s,0,2020,251241,0.3850963815619266,-3.2779853996124952
s,0,2021,254606,0.39244558258642764,-2.504162565587457
s,0,2022,260309,0.508372741626298,-0.01867009534956949
s,0,2023,263700,0.43666666666666665,-1.890230778225282
s,0,2024,268621,0.4236191511460385,-1.901719060892864
s,0,2025,269010,0.43374224006542506,-1.877208823582939
s,1,2000,2822,0.5,-0.07498622445253438
s,1,2001,2423,0.555096987205943,1.649008351227145
s,1,2002,2949,0.5869786368260427,3.1984731541104274
s,1,2003,3670,0.39536784741144415,-2.6639509552124796
s,1,2004,3625,0.38041379310344825,-1.8933075143039966
s,1,2005,3406,0.4715208455666471,-0.9468253991522717
s,1,2006,3885,0.3755469755469755,-1.9122996768392637
s,1,2007,3748,0.4786552828175027,-0.4874898614414281
s,1,2008,4511,0.5666149412547107,2.4678990927520648
s,1,2009,5292,0.41156462585034015,-2.8798042033030122
s,1,2010,4637,0.40069010135863703,-2.275337975215061
s,1,2011,4116,0.4681729834791059,-0.10994262992483647
s,1,2012,4182,0.3732663797226208,-2.085808713504642
s,1,2013,3441,0.34205172914850335,-2.511201669159287
s,1,2014,3523,0.3778030087993188,-1.59593472694359
s,1,2015,3266,0.5033680342927128,0.17184856438524757
s,1,2016,4144,0.3713803088803089,-2.614014202410506
s,1,2017,3875,0.3401290322580645,-2.007088161926918
s,1,2018,3265,0.4318529862174579,-1.2870566040298206
s,1,2019,2659,0.39939827002632566,-1.411407279915294
s,1,2020,3129,0.36337488015340363,-4.832786189689937
s,1,2021,2814,0.44598436389481166,-1.4308035059135131
s,1,2022,2601,0.5509419454056133,0.895829930412338
s,1,2023,3480,0.5186781609195402,0.4685603010413013
s,1,2024,4659,0.39192959862631466,-2.386021862548475
s,1,2025,4270,0.42201405152224825,-2.2349895073427097
