feature,importance,split_count
pat_deepest_pass,3057318.48828125,67
mkt_yield_curve_10y2y,1919891.2875976562,116
cal_pe_year,1729205.2529296875,65
pat_deepest_pass_capped30,1299636.2885742188,11
mkt_credit_spread,1279270.8325195312,89
pat_best_winrate,891609.8962402344,73
cal_day_of_year,800721.6401367188,90
mkt_vix_level,642545.9299316406,43
pat_direction,469990.2014160156,42
mkt_vix_term_structure,393809.59716796875,48
mkt_spy_above_sma200,296798.6181640625,12
pat_num_combos_qualifying,210720.73022460938,28
pat_depth_utilization,185065.01025390625,12
cal_month,178676.51098632812,22
mkt_credit_spread_change_20d,155370.7197265625,29
mkt_spy_roc_20,144256.38037109375,26
pat_pe_match,95808.51220703125,6
mkt_vix_percentile_60d,93718.220703125,16
mkt_adv_decl_ratio_10d,92363.59985351562,14
mkt_sector_rotation,85486.50024414062,16
pat_pe_deepest,63997.039306640625,11
pat_sharpe_ratio,51905.0205078125,7
ctx_pct_from_52w_low,44251.81103515625,5
mkt_vix_5d_change,26472.35009765625,5
pat_passes_recent_10,26264.4599609375,4
pat_data_years,23328.900146484375,6
mkt_yield_curve_slope,19979.85986328125,4
ta_trend_long,17451.22021484375,2
ta_price_vs_sma200,10740.8701171875,3
pat_recent_vs_deep_sharpe,10413.900390625,1
pat_pe_utilization,6130.47998046875,1
ta_trend_direction_match,5751.990234375,1
pat_worst_winrate,4047.330078125,1
ctx_pct_from_52w_high,3748.2099609375,1
cal_is_opex_week,3472.7900390625,1
pat_sharpe_per_day,3268.31005859375,1
ta_sma50_vs_sma200,2891.22998046875,1
pat_avg_profit2,2700.280029296875,1
cal_week_of_month,2630.169921875,1
ta_rvol_20,0.0,0
ctx_avg_volume_20d,0.0,0
pat_mfe_ratio,0.0,0
ta_price_vs_sma50,0.0,0
ctx_position_in_52w_range,0.0,0
ctx_sector_rs_20d,0.0,0
ctx_market_cap_bucket,0.0,0
ctx_stock_vs_sector_20d,0.0,0
pat_median_profit,0.0,0
cal_quarter,0.0,0
cal_month_position,0.0,0
pat_profit_per_day,0.0,0
pat_daysOut,0.0,0
pat_avg_profit,0.0,0
ta_trend_delta,0.0,0
ta_volume_price_confirm,0.0,0
ta_atr_percentile,0.0,0
ta_bollinger_position,0.0,0
ta_rs_vs_spy_20d,0.0,0
ta_macd_hist_slope,0.0,0
ta_trend_short,0.0,0
ta_macd_histogram,0.0,0
pat_daysOut_bucket,0.0,0
ta_rsi_14,0.0,0
ta_roc_20,0.0,0
ta_price_vs_sma20,0.0,0
ta_roc_5,0.0,0
pat_passes_at_max_depth,0.0,0
ta_sma20_vs_sma50,0.0,0
ta_obv_slope_10,0.0,0
