feature,lgb_gain,lgb_split
mkt_yield_curve_10y2y,463517239.6113281,2418
mkt_fed_rate_level,454817931.46484375,3021
cal_day_of_year,396542543.3574219,3101
mkt_credit_spread,394896153.1425781,2352
mkt_fed_rate_direction,374134642.3222656,2285
ctx_pct_from_52w_high,365369478.2734375,1974
mkt_vix_level,335055716.62109375,1742
mkt_spx_seasonal_ret,326777956.6328125,2251
pat_avg_profit2,309798722.5800781,853
cal_pe_year,305119652.9121094,1144
mkt_spx_seasonal_wr,280496339.2089844,1906
mkt_vix_term_structure,241403941.79101562,1192
mkt_credit_spread_change_20d,230734620.37109375,1227
ctx_pct_from_52w_low,202769611.8046875,1851
mkt_sector_rotation,177470936.57226562,1322
pat_direction,175474047.57617188,817
cal_month,156129436.15234375,1017
mkt_spy_roc_20,144067629.04492188,1050
pat_deepest_pass,119358541.89648438,550
mkt_vix_percentile_60d,117327298.03320312,822
pat_depth_utilization,113498015.59375,439
ta_sma50_vs_sma200,111427284.2109375,1146
pat_pe_utilization,100914079.52148438,571
pat_dir_x_mkt_trend,99548451.09960938,569
mkt_adv_decl_ratio_10d,98755255.90429688,649
ta_price_vs_sma200,93606780.27734375,830
pat_data_years,92043509.01171875,1084
mkt_breadth_momentum,85308422.15234375,658
pat_sharpe_ratio,79245654.58984375,491
mkt_yield_curve_slope,74563800.41210938,583
mkt_vix_5d_change,64109364.482421875,475
ta_trend_long,63903537.333984375,590
pat_best_winrate,63154614.384765625,574
pat_pe_deepest,62535047.572265625,329
pat_neighbor_avg_wr,61286409.185546875,579
pat_depth_x_vix,59863446.33203125,457
mkt_spy_above_sma200,59524384.18359375,262
pat_deepest_pass_capped30,52124671.22265625,299
pat_quality_x_regime,45541528.107421875,321
pat_pe_match,43657145.59765625,217
mkt_vix_regime_bucket,38286683.603515625,225
pat_dir_x_sector_trend,32409970.001953125,373
ta_trend_direction_match,29380198.826171875,214
mkt_spx_seasonal_regime,24532150.587890625,199
pat_post_cliff,21974550.119140625,227
mkt_spx_dir_alignment,19732543.6015625,108
cal_week_of_month,17687620.396484375,163
pat_consistency_std,16368355.701171875,244
pat_pre_slope,15450222.3984375,153
pat_sharpness,14377610.408203125,155
pat_worst_winrate,12898818.318359375,134
pat_num_combos_qualifying,12472283.8828125,139
pat_hit_last_year,11753853.697265625,174
ta_rvol_20,8774055.587890625,108
pat_concurrent_count,8009235.484375,93
cal_is_opex_week,3871168.501953125,36
pat_recent_vs_deep_sharpe,108103.00390625,3
pat_passes_recent_10,76785.19921875,2
