feature,lgb_gain,lgb_split
mkt_yield_curve_10y2y,425269980.0,39
cal_pe_year,406238720.0,25
ctx_pct_from_52w_high,349974690.0,37
mkt_fed_rate_level,309164930.0,36
mkt_credit_spread,270148116.0,16
mkt_vix_level,261890800.0,25
pat_direction,247166000.0,2
cal_day_of_year,241213490.0,25
mkt_fed_rate_direction,200700880.0,19
pat_avg_profit2,158958350.0,20
cal_month,123092290.0,15
pat_depth_utilization,86209980.0,4
mkt_vix_term_structure,80071070.0,5
mkt_credit_spread_change_20d,75796030.0,9
mkt_spx_seasonal_ret,75351870.0,12
pat_data_years,65014140.0,8
mkt_spy_roc_20,63422370.0,6
mkt_spx_dir_alignment,62575390.0,8
mkt_spx_seasonal_wr,59073890.0,5
pat_pe_utilization,58750400.0,5
mkt_sector_rotation,53466790.0,8
ctx_pct_from_52w_low,49819810.0,10
mkt_adv_decl_ratio_10d,46134750.0,2
pat_deepest_pass,35331280.0,7
ta_sma50_vs_sma200,26702910.0,3
mkt_spx_seasonal_regime,25501400.0,1
pat_depth_x_vix,25001210.0,4
pat_dir_x_sector_trend,21619190.0,3
pat_quality_x_regime,19530040.0,2
pat_neighbor_avg_wr,19403720.0,2
pat_pe_deepest,18442520.0,4
pat_deepest_pass_capped30,13418510.0,2
mkt_spy_above_sma200,13307140.0,2
ta_trend_long,10854810.0,3
mkt_breadth_momentum,8909210.0,2
pat_sharpe_ratio,7915300.0,1
pat_best_winrate,6343880.0,1
pat_consistency_std,6207660.0,1
mkt_vix_percentile_60d,5105600.0,1
pat_dir_x_mkt_trend,5056120.0,1
pat_daysOut,4991130.0,1
mkt_vix_5d_change,4671850.0,1
pat_sharpness,3324050.0,1
ta_trend_direction_match,0.0,0
ta_price_vs_sma200,0.0,0
pat_post_cliff,0.0,0
pat_hit_last_year,0.0,0
pat_pre_slope,0.0,0
pat_concurrent_count,0.0,0
pat_worst_winrate,0.0,0
pat_pe_match,0.0,0
pat_passes_recent_10,0.0,0
pat_recent_vs_deep_sharpe,0.0,0
pat_num_combos_qualifying,0.0,0
ta_rvol_20,0.0,0
mkt_vix_regime_bucket,0.0,0
mkt_yield_curve_slope,0.0,0
cal_is_opex_week,0.0,0
cal_week_of_month,0.0,0
