feature,lgb_gain,lgb_split
ctx_pct_from_52w_high,617991332.5354004,2422
pat_avg_profit2,371101609.82128906,1502
ctx_pct_from_52w_low,194416562.40063477,1967
mkt_vix_level,185457398.33935547,1210
mkt_fed_rate_level,117697560.89331055,1927
cal_day_of_year,104854672.72753906,1957
mkt_yield_curve_10y2y,98484557.83081055,1486
mkt_credit_spread,82652824.16918945,1327
mkt_fed_rate_direction,76566542.04321289,1520
mkt_sector_rotation,74811088.44946289,993
pat_direction,74808388.91821289,760
cal_pe_year,73880300.6159668,736
mkt_spx_seasonal_ret,67627130.51245117,1170
pat_daysOut,67511977.4777832,332
ta_price_vs_sma200,64820690.458984375,1040
mkt_gc_roc_20,61880200.77661133,1118
pat_data_years,61127217.794433594,1489
ta_sma50_vs_sma200,60722497.23339844,1322
mkt_cl_roc_20,52931613.567871094,906
mkt_vix_term_structure,52213281.47143555,808
mkt_dxy_roc_20,48064811.36450195,966
mkt_spx_seasonal_wr,40004852.62084961,869
mkt_credit_spread_change_20d,38767350.27270508,619
mkt_vix_regime_bucket,36911389.40136719,149
pat_dir_x_mkt_trend,36169367.79418945,489
pat_depth_utilization,35786803.41137695,347
ta_trend_long,34831705.45825195,662
mkt_vix_percentile_60d,33248883.782714844,542
mkt_spx_dir_alignment,30722378.21850586,430
mkt_spy_roc_20,30023069.97680664,706
pat_neighbor_avg_wr,27608479.137451172,529
cal_month,26513327.540039062,498
pat_pe_utilization,25556221.373291016,449
mkt_breadth_momentum,22828220.502929688,480
mkt_spy_above_sma200,20534777.520507812,110
mkt_adv_decl_ratio_10d,19905437.478271484,462
pat_deepest_pass,19523778.26196289,346
pat_depth_x_vix,15469012.720947266,319
pat_dir_x_sector_trend,13960983.752197266,434
ta_trend_direction_match,13934737.989501953,227
mkt_vix_5d_change,13309808.735351562,378
pat_sharpe_ratio,13205597.057617188,203
mkt_yield_curve_slope,12561823.680175781,283
pat_pe_deepest,11842135.025634766,201
pat_best_winrate,10687648.114013672,264
pat_quality_x_regime,10546068.71459961,189
pat_pe_match,10175776.53125,106
pat_pre_slope,9794991.619873047,146
pat_post_cliff,8697853.37475586,220
pat_hit_last_year,7278298.5087890625,202
pat_concurrent_count,6453942.4130859375,291
pat_deepest_pass_capped30,6250592.270019531,111
ta_rvol_20,5801163.913330078,281
pat_sharpness,5529107.326660156,161
mkt_spx_seasonal_regime,4139429.763671875,87
pat_consistency_std,3760789.3537597656,173
cal_week_of_month,3717776.1059570312,148
pat_worst_winrate,3325839.5522460938,88
pat_num_combos_qualifying,2184936.0075683594,78
cal_is_opex_week,353195.30419921875,20
pat_recent_vs_deep_sharpe,99097.1005859375,6
pat_passes_recent_10,34442.089111328125,3
